Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""4""","""Afghanistan""","""PER_POP_U5""","""<5Y""","""G""",,,,,4.6,,,,,,,,,5.4,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""8""","""Albania""","""PER_POP_U5""","""<5Y""","""G""",30.00304,,,,,24.83718,,,,23.23508,,,,,,,,16.39899,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""12""","""Algeria""","""PER_POP_U5""","""<5Y""","""G""",14.7,,15.13313,,,12.9,,,,,,,12.41454,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""120""","""Cameroon""","""PER_POP_U5""","""<5Y""","""G""",,,,,8.70112,,10.22434,,,,,6.44231,,,6.69973,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""124""","""Canada""","""PER_POP_U5""","""<5Y""","""G""",,,,,10.4,,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""140""","""Central African Republic""","""PER_POP_U5""","""<5Y""","""G""",10.79505,,,,,,8.07379,,,,1.81502,,1.9381,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""24""","""Angola""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,,,,,,,,,,3.37364,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""32""","""Argentina""","""PER_POP_U5""","""<5Y""","""G""",,,,,,9.9,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""51""","""Armenia""","""PER_POP_U5""","""<5Y""","""G""",15.6687,,,,,11.35197,,,,,16.45302,,,,,,13.68482,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""62""","""Central and Southern Asia""","""PER_POP_U5""","""<5Y""","""G""",2.76372,,,,,2.89517,,,,,3.07633,,,,,3.27404,,,3.37176
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""143""","""Central Asia""","""PER_POP_U5""","""<5Y""","""G""",9.0459,,,,,9.13447,,,,,9.22382,,,,,9.31395,,,9.36841
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""36""","""Australia""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,7.7,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""31""","""Azerbaijan""","""PER_POP_U5""","""<5Y""","""G""",6.21762,4.4,,,,,13.88755,,,,,10.4,,14.0718,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""50""","""Bangladesh""","""PER_POP_U5""","""<5Y""","""G""",0.93468,0.9,1,1,0.94657,1,0.8,1.09493,,,,1.88834,1.5634,2.6,1.57712,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""148""","""Chad""","""PER_POP_U5""","""<5Y""","""G""",2.71608,,,,4.2486,,,,,,2.70585,,,,,2.81919,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""152""","""Chile""","""PER_POP_U5""","""<5Y""","""G""",,12.9,12,12.1,12.1,,11.7,9.8,9.5,,,,,10.1,9.3,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""400""","""Jordan""","""PER_POP_U5""","""<5Y""","""G""",,,4.44801,,,,,,,6.64316,,,4.73679,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""398""","""Kazakhstan""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,16.89138,,,,13.32399,,,,,9.34596,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""404""","""Kenya""","""PER_POP_U5""","""<5Y""","""G""",8.1383,,,5.76373,,7.86274,,,,4.98192,,,,,4.14094,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""52""","""Barbados""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,,,,,,12.21261,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""112""","""Belarus""","""PER_POP_U5""","""<5Y""","""G""",,,,,,9.73347,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""84""","""Belize""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,,,,,7.85644,,,,7.3049,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""678""","""Sao Tome and Principe""","""PER_POP_U5""","""<5Y""","""G""",9.21398,,,,,,15.4,,11.18115,,,,,,2.40203,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""682""","""Saudi Arabia""","""PER_POP_U5""","""<5Y""","""G""",,,,,,6.1,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""686""","""Senegal""","""PER_POP_U5""","""<5Y""","""G""",3.18267,,,,,2.50064,,,,,,2.73255,0.7,1.43349,1.31394,1.01543,0.94401,0.93149,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""156""","""China""","""PER_POP_U5""","""<5Y""","""G""",3.4,,9.2,,,5.9,,,5.8,5.7,6.6,,,9.1,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""170""","""Colombia""","""PER_POP_U5""","""<5Y""","""G""",5.34483,,,,,4.1653,,,,,4.82889,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""414""","""Kuwait""","""PER_POP_U5""","""<5Y""","""G""",,11,6.6,6.8,7.1,7.5,8.7,8.5,9.3,9,7.8,8.3,9.5,7.8,8.7,6,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""417""","""Kyrgyzstan""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,10.66876,,,4.4,,,8.85033,,6.98057,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""432""","""Landlocked developing countries (LLDCs)""","""PER_POP_U5""","""<5Y""","""G""",3.8425,,,,,3.82002,,,,,3.79766,,,,,3.77544,,,3.76216
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""204""","""Benin""","""PER_POP_U5""","""<5Y""","""G""",,3.0894,,,,,11.18711,,,,,,,,1.71761,,,,1.9
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""64""","""Bhutan""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,,4.4,,7.5655,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""68""","""Bolivia (Plurinational State of)""","""PER_POP_U5""","""<5Y""","""G""",,,,9.19654,,,,,8.65375,,,,,,,,10.14999,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""174""","""Comoros""","""PER_POP_U5""","""<5Y""","""G""",21.45127,,,,,,,,,,,,10.5795,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""178""","""Congo""","""PER_POP_U5""","""<5Y""","""G""",,,,,,8.54364,,,,,,3.47563,,,,5.91182,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""188""","""Costa Rica""","""PER_POP_U5""","""<5Y""","""G""",,,,,,,,,8.1,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""418""","""Lao People's Democratic Republic""","""PER_POP_U5""","""<5Y""","""G""",2.7,,,,,,1.27548,,,,,2.02481,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""419""","""Latin America and the Caribbean""","""PER_POP_U5""","""<5Y""","""G""",6.60302,,,,,6.836,,,,,7.07824,,,,,7.3328,,,7.49068
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""70""","""Bosnia and Herzegovina""","""PER_POP_U5""","""<5Y""","""G""",16.29456,,,,,,25.6366,,,,,,17.35112,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_OVRWGT""","""Proportion of children moderately or severely overweight (%)""","""72""","""Botswana""","""PER_POP_U5""","""<5Y""","""G""",10.12022,,,,,,,11.2,,,,,,,,,,,
