Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""4""","""Afghanistan""","""NUM_U5_M""","""<5Y""","""G""",,,,,401.40388,,,,,,,,,497.40737,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""8""","""Albania""","""NUM_U5_M""","""<5Y""","""G""",34.12136,,,,,16.0429,,,,17.16149,,,,,,,,2.80684,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""12""","""Algeria""","""NUM_U5_M""","""<5Y""","""G""",95.72276,,277.5383,,,118.58636,,,,,,,178.2517,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""24""","""Angola""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,335.52457,,,,,,,,,259.68687,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""32""","""Argentina""","""NUM_U5_M""","""<5Y""","""G""",,,,,,43.13851,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""51""","""Armenia""","""NUM_U5_M""","""<5Y""","""G""",4.98231,,,,,10.00887,,,,,8.30042,,,,,,9.0035,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""36""","""Australia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,0,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""31""","""Azerbaijan""","""NUM_U5_M""","""<5Y""","""G""",63.99349,21.57005,,,,,44.65084,,,,,48.50512,,25.71199,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""50""","""Bangladesh""","""NUM_U5_M""","""<5Y""","""G""",2096.92861,2148.15992,2102.12538,2116.62813,2468.72482,1975.84876,1984.47506,2884.52468,,,,2448.06374,1657.75498,2785.63597,2204.40821,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""52""","""Barbados""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,1.17244,,,,,,
