Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),4,Afghanistan,PER_POP_U5,<5Y,G,,,,,8.6,,,,,,,,,9.5,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),8,Albania,PER_POP_U5,<5Y,G,12.24,,,,,7.32,,,,9.58,,,,,,,,1.58,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),12,Algeria,PER_POP_U5,<5Y,G,3.1,,9.62,,,4,,,,,,,4.11,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),24,Angola,PER_POP_U5,<5Y,G,,,,,,,,8.2,,,,,,,,,4.92,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),32,Argentina,PER_POP_U5,<5Y,G,,,,,,1.2,,,,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),51,Armenia,PER_POP_U5,<5Y,G,2.53,,,,,5.36,,,,,4.13,,,,,,4.45,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),174,Comoros,PER_POP_U5,<5Y,G,13.27,,,,,,,,,,,,11.27,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),178,Congo,PER_POP_U5,<5Y,G,,,,,,8.02,,,,,,6.02,,,,8.17,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),188,Costa Rica,PER_POP_U5,<5Y,G,,,,,,,,,1,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),36,Australia,PER_POP_U5,<5Y,G,,,,,,,,0,,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),31,Azerbaijan,PER_POP_U5,<5Y,G,8.98,3.2,,,,,6.8,,,,,6.6,,3.16,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),50,Bangladesh,PER_POP_U5,<5Y,G,12.47,12.7,12.4,12.5,14.64,11.8,11.9,17.48,,,,15.68,10.72,,14.38,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),52,Barbados,PER_POP_U5,<5Y,G,,,,,,,,,,,,,6.77,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),112,Belarus,PER_POP_U5,<5Y,G,,,,,,2.21,,,,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),84,Belize,PER_POP_U5,<5Y,G,,,,,,,1.88,,,,,3.29,,,,1.77,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),384,Côte d'Ivoire,PER_POP_U5,<5Y,G,,,,,,,9.04,14,,,,,7.61,,,,6.05,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),192,Cuba,PER_POP_U5,<5Y,G,2.4,,,,,,,,,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),203,Czechia,PER_POP_U5,<5Y,G,,4.6,,,,,,,,,,,,,,,,,
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),204,Benin,PER_POP_U5,<5Y,G,,9.04,,,,,8.54,,,,,,,,5.3,,,,5
2,2.2,2.2.2,SH_STA_WASTE,Proportion of children moderately or severely wasted (%),64,Bhutan,PER_POP_U5,<5Y,G,,,,,,,,,4.7,,5.85,,,,,,,,
